TIME,C_pos,C_neu,C_neg
0,68,40,265
1,165,111,639
2,262,181,950
3,355,251,1204
4,454,305,1470
5,545,351,1711
6,634,403,2015
7,757,469,2337
8,866,529,2629
9,963,576,2921
10,1035,613,3147
11,1080,627,3270
12,1095,631,3323
13,1106,634,3350
14,1112,635,3374
15,1116,638,3393
16,1121,644,3421
17,1126,646,3437
18,1130,650,3461
19,1132,654,3472
20,1132,658,3481
21,1134,658,3484
22,1135,658,3489
23,1136,658,3491
24,1136,658,3491
25,1137,658,3493
26,1137,658,3493
27,1138,658,3496
28,1139,658,3496
29,1139,658,3498
30,1139,658,3499
31,1139,658,3499
32,1139,658,3503
33,1140,659,3506
34,1140,659,3509
35,1142,659,3515
36,1145,659,3521
37,1147,661,3524
38,1148,661,3527
39,1148,662,3534
40,1149,662,3539
41,1149,662,3545
42,1151,663,3548
43,1152,663,3557
44,1154,663,3564
45,1155,665,3564
46,1155,665,3564
47,1156,665,3567
48,1157,665,3569
49,1158,667,3569
50,1159,667,3571
51,1159,667,3571
52,1159,668,3573
53,1159,668,3573
54,1161,668,3573
55,1161,668,3573
56,1162,668,3573
57,1162,668,3573
58,1162,668,3573
59,1162,668,3573
60,1163,668,3573
