TIME,C_pos,C_neu,C_neg
0,112,1194,199
1,241,2837,446
2,407,4544,725
3,565,5867,948
4,721,7321,1139
5,874,8576,1339
6,963,9364,1461
7,1038,10077,1561
8,1126,10657,1647
9,1215,11151,1716
10,1271,11493,1760
11,1302,11727,1798
12,1322,11900,1826
13,1331,12050,1839
14,1355,12139,1855
15,1369,12230,1869
16,1377,12300,1876
17,1385,12364,1886
18,1391,12429,1905
19,1396,12471,1913
20,1400,12498,1918
21,1402,12512,1919
22,1402,12529,1920
23,1405,12547,1924
24,1405,12567,1929
25,1405,12582,1929
26,1407,12606,1932
27,1408,12620,1935
28,1408,12642,1936
29,1410,12663,1939
30,1413,12673,1942
31,1415,12692,1944
32,1415,12706,1944
33,1416,12714,1946
34,1416,12721,1946
35,1418,12726,1946
36,1421,12729,1949
37,1421,12734,1949
38,1422,12744,1950
39,1422,12749,1951
40,1422,12749,1953
41,1422,12753,1953
42,1422,12760,1953
43,1422,12767,1955
44,1422,12782,1956
45,1422,12793,1957
46,1422,12806,1958
47,1423,12817,1959
48,1424,12823,1959
49,1426,12825,1960
50,1426,12827,1960
51,1427,12831,1960
52,1429,12835,1962
53,1429,12837,1963
54,1430,12837,1964
55,1432,12842,1965
56,1432,12844,1966
57,1432,12845,1966
58,1433,12846,1966
59,1433,12848,1966
60,1433,12850,1967
61,1433,12850,1967
62,1433,12851,1967
63,1433,12851,1967
64,1433,12852,1967
65,1433,12853,1967
66,1433,12854,1967
67,1433,12855,1967
68,1433,12855,1968
69,1433,12855,1968
70,1433,12856,1969
71,1433,12857,1969
72,1433,12858,1969
73,1433,12860,1969
74,1433,12862,1969
75,1433,12864,1969
76,1433,12867,1969
77,1433,12868,1970
78,1433,12869,1970
79,1433,12871,1971
80,1433,12873,1971
81,1433,12874,1971
82,1433,12874,1971
83,1433,12876,1972
84,1433,12877,1972
85,1433,12878,1972
86,1433,12878,1972
87,1433,12878,1972
88,1433,12878,1972
89,1433,12878,1972
90,1433,12878,1973
91,1434,12878,1973
92,1434,12878,1973
93,1434,12878,1973
94,1434,12878,1973
95,1434,12878,1973
96,1434,12878,1973
97,1434,12880,1973
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
